tsr,t1,t2
1,15,120
1.25,15,120
1.5,15,120
1.75,15,120
2,15,120
2.25,15,120
2.5,15,120
2.6,15,120
2.7,15,120
2.8,15,120
2.9,15,120
3,15,120
3.1,15,120
3.2,15,120
3.3,15,120
3.4,15,120
3.5,15,120
3.6,15,120
3.7,15,120
3.8,15,120
3.9,15,120
4,15,120
4.25,15,120
4.5,15,120
4.75,15,120
5,15,120
5.25,15,120
5.5,15,120
5.75,15,120
