tsr,t1,t2
1,15,25.5
1.25,15,25.5
1.5,15,25.5
1.75,15,25.5
2,15,25.5
2.25,15,25.5
2.5,18,25.5
2.6,18,25.5
2.7,18,25.5
2.8,18,25.5
2.9,18,25.5
3,18,25.5
3.1,20,25.5
3.2,20,25.5
3.3,20,25.5
3.4,20,25.5
3.5,20,25.5
3.6,20,25.5
3.7,20,25.5
3.8,20,25.5
3.9,20,25.5
4,20,25.5
4.25,20,25.5
4.5,20,25.5
4.75,20,25.5
5,20,25.5
5.25,20,25.5
5.5,20,25.5
5.75,20,25.5
