tsr,t1,t2
1,15,28
1.25,15,28
1.5,15,28
1.75,15,28
2,15,28
2.25,15,28
2.5,20,28
2.6,20,28
2.7,20,28
2.8,20,28
2.9,20,28
3,20,28
3.1,20,28
3.2,20,28
3.3,19,28
3.4,19,28
3.5,19,28
3.6,19,28
3.7,19,28
3.8,19,28
3.9,19,28
4,19,28
4.25,19,28
4.5,19,28
4.75,19,28
5,19,28
5.25,19,28
5.5,19,28
5.75,19,28
