tsr,t1,t2
1,15,31
1.25,15,31
1.5,15,31
1.75,15,31
2,15,31
2.25,15,31
2.5,20,31
2.6,20,31
2.7,20,31
2.8,20,31
2.9,20,31
3,20,31
3.1,20,31
3.2,20,31
3.3,20,31
3.4,20,31
3.5,20,31
3.6,20,31
3.7,20,31
3.8,20,31
3.9,20,31
4,20,31
4.25,25,31
4.5,25,31
4.75,25,31
5,25,31
5.25,25,31
5.5,25,31
5.75,25,31
