tsr,t1,t2
1,15,27
1.25,15,27
1.5,15,27
1.75,15,27
2,15,27
2.25,15,27
2.5,18,27
2.6,18,27
2.7,18,27
2.8,18,27
2.9,18,27
3,18,27
3.1,18,27
3.2,20,27
3.3,22,27
3.4,22,27
3.5,22,27
3.6,22,27
3.7,22,27
3.8,22,27
3.9,22,27
4,22,27
4.25,22,27
4.5,22,27
4.75,22,27
5,22,27
5.25,22,27
5.5,22,27
5.75,22,27
