tsr,t1,t2
1,18,36
1.25,18,36
1.5,18,36
1.75,18,36
2,20,36
2.25,20,36
2.5,20,36
2.6,20,36
2.7,20,36
2.8,20,36
2.9,20,36
3,20,36
3.1,20,36
3.2,20,36
3.3,20,36
3.4,16,36
3.5,16,36
3.6,16,36
3.7,16,36
3.8,16,36
3.9,16,36
4,16,36
4.25,16,36
4.5,20,36
4.75,23,36
5,26,36
5.25,26,36
5.5,26,36
5.75,26,36
