tsr,t1,t2
1,20,80
1.25,20,80
1.5,20,80
1.75,20,80
2,20,80
2.25,20,80
2.5,20,80
2.6,20,80
2.7,20,80
2.8,20,80
2.9,20,80
3,20,80
3.1,20,80
3.2,20,80
3.3,20,80
3.4,20,80
3.5,20,80
3.6,20,80
3.7,20,80
3.8,20,80
3.9,20,80
4,20,80
4.25,20,80
4.5,20,80
4.75,20,80
5,20,80
5.25,20,80
5.5,20,80
5.75,20,80
