tsr,t1,t2
1,16,33
1.25,16,33
1.5,16,33
1.75,16,33
2,16,33
2.25,16,33
2.5,16,33
2.6,16,33
2.7,16,33
2.8,18,33
2.9,18,33
3,20,33
3.1,20,33
3.2,20,33
3.3,20,33
3.4,20,33
3.5,20,33
3.6,20,33
3.7,20,33
3.8,20,33
3.9,20,33
4,20,33
4.25,20,33
4.5,20,33
4.75,20,33
5,20,33
5.25,20,33
5.5,20,33
5.75,20,33
