run,tow_speed_nom,tsr_nom,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,sys_unc_tsr,sys_unc_cp,sys_unc_cd,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
0.0,0.6,1.0,0.6000066406890895,0.0014240861220955023,20.0,44.38,13.0,4.0,1.0000548095120803,-0.013980367853200832,0.30740176111618256,0.022463127369249554,0.012884776150538004,0.09677767187851433,0.00016303302130825302,0.0003307245795840962,0.003913379742271535,1.466869281216801e-05,0.0029786442742560254,0.0012678848218755756,0.00025466828588600014,0.006872032621812789,0.005785774849616435,3.1961754986092,8.049184447821988,5.673056997399742,20.0,44.38,0.0,0.0,0.440044353256725,-0.017538793201134686,-0.01631042265299223,0.09110015912179073,0.11280513419824768,0.06188247959317915,-0.0005589245236214325,0.00020823843417014712,-0.00035725710975322077,0.012424288433652193
1.0,0.6,1.25,0.6000075885047896,0.0012628978864639624,20.0,44.01,16.0,5.0,1.2499852292646207,-0.019022550861646562,0.33879638463941225,0.031101428293906712,0.021943638898058355,0.1078363573451861,0.00014049555658202355,0.00031182021109949415,0.00327517245346736,1.4997752200984326e-05,0.0037230444644160295,0.0012678813718475651,0.0001722635503119721,0.008587196643661494,0.004343682937407583,4.461556974790828,8.022431359283832,9.557271838611832,20.0,44.01,0.0,0.0,0.41407762939275206,0.015456345058387838,-0.012340416723188051,0.0894474367967498,0.09767596085220105,0.05917058852954973,0.0016471172579243867,-4.078656577799524e-06,0.0002969712733920128,0.010519104376914582
2.0,0.6,1.5,0.6000039772727274,0.001104634677955925,20.0,43.76,19.0,6.0,1.49993871813756,-0.017229637823267932,0.3826975372620726,0.0631902843561681,0.06319863171962159,0.11641132700013604,0.0004136836756715952,0.001394441619654017,0.004333575922986523,1.5390519854110568e-05,0.0044675726225425075,0.0012678975014643811,0.00043379664315686757,0.01032924708967864,0.004860884624350223,5.083172176329065,8.258417751341437,9.833703236697527,20.0,43.76,0.0,0.0,0.3993374787296151,0.022518105218677142,-0.013239418860231906,0.08285860344278086,0.09268559263325787,0.06111873831997545,0.00032160943471437495,-0.00025113626017697426,-0.0003471293314309266,0.009593812537704208
3.0,0.6,1.75,0.6000052879156527,0.001219310925408717,20.0,44.66,23.0,7.0,1.7500493757547972,-0.010899624945620226,0.4382567802422088,0.08079540038980618,0.09913775298732404,0.1433626903102548,0.0007350743193335411,0.004089748399885886,0.006292252327239798,1.5842293060821512e-05,0.005212482899477048,0.0012678932112235718,0.0006798692414409882,0.012224947067399511,0.006064044873580849,6.039032457933593,9.372326798640756,9.330032755084455,20.0,44.66,0.0,0.0,0.3842950749897471,0.016125076124350053,-0.014188349979896736,0.08915198115154878,0.08990192225185827,0.05920329980957615,0.0018342505733878116,4.931833714360335e-05,0.00017179782070701158,0.009765746080614215
4.0,0.6,2.0,0.6000035110746514,0.0014448826745413798,20.0,44.38,26.0,8.0,2.000419449975815,0.023540533366005142,0.5132464444646873,0.11873127685298404,0.17350805098245056,0.1811274735091939,0.0008104682735481044,0.00446076217387249,0.005037090534784716,1.6348788558205573e-05,0.0059583062197495,0.0012679026741028417,0.0006777812961208435,0.013917374141567617,0.00472365988605464,7.045582848714029,9.109159728519884,12.977327994103117,20.0,44.38,0.0,0.0,0.3132411169858363,0.01033764101478916,-0.01789848243468059,0.0821937918369159,0.08152385646768559,0.055356476165662485,0.0011250031669260507,-1.5070856718228782e-05,-0.00020426531621681114,0.008231459381205706
5.0,0.6,2.25,0.5999966873449132,0.002974245514802058,20.0,44.18,29.0,9.0,2.249923589174781,0.07597936248984052,0.5897047650553957,0.15188954963143433,0.2459624582810185,0.2447189768637178,0.0015473860265644418,0.003386956424278108,0.008344978415489401,1.6902749643454796e-05,0.006701717313301293,0.001267933819844069,0.0011896208715970063,0.015526738894713196,0.006714744623497503,8.017182223650437,8.453706335803375,11.186769251225227,20.0,44.18,0.0,0.0,0.3539480651427618,0.0194555808462937,-0.013281068798456867,0.07538922193475797,0.08513532024906761,0.054241359215056205,0.0011562901739838437,-1.695277911898384e-05,0.0003675705755420766,0.007935198138974
6.0,0.6,2.5,0.6000110945072697,0.0024052952577844626,20.0,44.76,33.0,11.0,2.4999742872870416,0.12948797619862037,0.6558746724967393,0.16660549767976193,0.28870126850129557,0.24735052215477552,0.0011746746245596552,0.004582704060556837,0.003995492440261274,1.750151072188283e-05,0.007445956585792607,0.0012678751887008806,0.0007896000249492138,0.017269156148958447,0.0036814053191941937,10.048820561401158,8.55234582947198,17.533019196146185,20.0,44.76,0.0,0.0,0.2738002018904257,-0.011072686840094647,-0.007731421692337297,0.08369430437043691,0.07631756019032616,0.05712821175323024,-0.0008808030774726372,0.0004711711118411839,-0.000154556115339054,0.008044742871433145
7.0,0.6,2.6,0.6000127435792908,0.0015117660435868183,20.0,44.53,34.0,11.0,2.6000543347048053,0.16554905015255075,0.7071350716570608,0.15467359439470296,0.30269747103566125,0.2287070643486333,0.003552553922949883,0.007530859995435002,0.0035799489446144642,1.775292455580005e-05,0.007744140842496914,0.0012678701357260384,0.0023867883370396414,0.018144082044177938,0.003516958637186225,10.005493715750525,9.379200297047378,16.756969695711536,20.0,44.53,0.0,0.0,0.2623629686301103,-0.0133336731006801,-0.012023033039700171,0.05737576812635016,0.06247801142206428,0.03857428182088456,-0.0001448809835838013,-7.454135825969779e-07,0.00017663356927388654,0.004340842828566076
8.0,0.6,2.7,0.6000092598684211,0.0013629448134201572,20.0,44.32,35.0,11.0,2.699951660785237,0.18919888979452287,0.7313354542545693,0.14357749192488387,0.28613678864343756,0.2238857490098769,0.0008524802444917934,0.0037350738655527876,0.004306085156707038,1.80100402090668e-05,0.0080417673623633,0.0012678858108352673,0.0005733528695247159,0.018602804948805497,0.0038146967621810507,10.098130429678752,8.314296786950914,17.861899673739803,20.0,44.32,0.0,0.0,0.24747490725035237,-0.00919037831851567,-0.007034333893252072,0.055419353647734454,0.05579942593158277,0.03514357991199047,0.00016211442140940307,-1.5622592251923543e-05,-4.0583221080387484e-05,0.0037092130793907473
9.0,0.6,2.8,0.6000072085518355,0.0014272480954169125,20.0,44.79,37.0,12.0,2.7998435123147076,0.20939756024760714,0.7600121433762758,0.12435879619673297,0.23909819018089826,0.20702510121888595,0.0009210289435154199,0.003869999441013631,0.006132054234348298,1.827292145821768e-05,0.008339293004080624,0.001267895649620753,0.0005859058510100354,0.019285591556914037,0.004565868052688027,11.103818614516369,8.287780850616388,18.49020350758342,20.0,44.79,0.0,0.0,0.2246340329318541,0.0013897311244239381,-0.007170431658288613,0.05055903382024064,0.05216491213310267,0.03323453622516024,0.00033805684736713847,-0.00011179879753363657,0.00010945266675938525,0.0031903197609850303
