run,tow_speed,tare_drag
0,0.2,1.905157827575381
1,0.3,4.233128081976429
2,0.4,8.092422052240382
3,0.5,12.50001499258326
4,0.6,17.977529639239396
5,0.7,25.28876589401896
6,0.8,33.47514683931338
7,0.9,38.77952987957454
8,1.0,46.64324118685838
9,1.1,60.81119197555439
10,1.2,66.90768309869615
11,1.3,79.20302270784208
