run,tow_speed_nom,tsr_nom,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,sys_unc_tsr,sys_unc_cp,sys_unc_cd,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
0.0,1.0,3.1,1.0000471992653814,0.002952904585540747,20.0,30.89,30.0,10.0,3.0998307186302996,0.35660748311583096,0.8501337800876213,0.10140748092971578,0.13171404420130445,0.1683088391573644,0.0020911937430899367,0.004942742663802302,0.005258154083656516,1.145688958062859e-05,0.0033237022074572623,0.00045642441502775146,0.0014960375603775649,0.00804678920968739,0.003824816894308311,9.005402679775928,11.432680761814636,10.341308231453175,20.0,30.89,-2.75,0.375,1.0764416352407458,-0.03270326140321719,-0.043292739051514005,0.028976000345894266,0.02332989827338701,0.01058249529042179,-2.072682005191473e-05,-8.445711367958103e-05,1.2788458350531071e-05,0.0007475973126043493
1.0,1.0,3.1,1.0000390174471994,0.002985455682886797,20.0,30.89,30.0,10.0,3.099870038668262,0.3537621810813483,0.8468463439076696,0.1003736413507921,0.13049522915298672,0.16883584428525925,0.0019676024315612405,0.004918004965328468,0.0053590175431480185,1.1457049634437106e-05,0.003323798626475493,0.0004564317304693298,0.0014076311799339973,0.008042346298123592,0.003895523384476377,9.006102870206556,11.400626516672812,10.292161875712807,20.0,30.89,-2.5,0.375,1.0774680758267299,-0.03477961432891731,-0.039318328068562135,0.027028377290820135,0.023501231130166274,0.010479637076152754,4.0356727656251446e-06,-6.738568247087885e-05,2.8363542253747824e-05,0.000696012118186535
2.0,1.0,3.1,1.0000437832874196,0.0029750265954035736,20.0,30.89,30.0,10.0,3.099727250833104,0.3566631810043632,0.8502490130315854,0.10241797064338787,0.13323818903594803,0.17156826440490433,0.002986438362636017,0.006169437858758194,0.006893982850412834,1.145676243662531e-05,0.003323619478767487,0.00045642753835216675,0.002136430677041622,0.00832055708270369,0.0049776249132945675,9.002649019797294,13.082203823404091,9.785139177376118,20.0,30.89,-2.25,0.375,1.0294811756267144,-0.04505420310890578,-0.045173174239017864,0.050511485862756486,0.05559497545057417,0.02950107271427323,8.118222022386724e-05,-0.0003244184665957029,0.0001303813417824708,0.00325476690767642
3.0,1.0,3.1,1.0000446005509642,0.002990464013887761,20.0,30.89,30.0,10.0,3.0997727247944185,0.3568265153574148,0.8498982610075682,0.10136950973090943,0.13169898553039944,0.16935161360915743,0.0010438463906029033,0.00440264471749385,0.005177347549141398,1.1456826461582246e-05,0.0033236605823990352,0.0004564267761525522,0.0007468987179163996,0.007952900033676689,0.0037682229785806656,9.02168176230026,10.759314223470907,10.382751762913871,20.0,30.89,-2.0,0.375,1.0750487145748646,-0.03799311296655809,-0.03733486671338291,0.022595583440595812,0.01964764143703945,0.007123272505015573,6.627023172547819e-06,-3.826180664540456e-05,2.7936134786234207e-06,0.00047344800163680545
4.0,1.0,3.1,1.0000438751147842,0.002921611068818783,20.0,30.89,30.0,10.0,3.0999709259464305,0.35014598670795893,0.8436404441345344,0.09854321446032456,0.1278724354950391,0.16663964724355845,0.0019087349829157282,0.003782629565939342,0.004271027066474899,1.1457160901353343e-05,0.0033238721513201793,0.00045642714799701566,0.0013655228245617625,0.007865047729316031,0.0031374473232678684,9.00648523054987,10.056389879132782,11.011471354089709,20.0,30.89,-1.8,0.375,1.0734239794762241,-0.04018732785396714,-0.040936639257657524,0.024866720889589283,0.02332012029613323,0.012103732833145473,2.528186354790856e-05,-5.500101099845917e-05,2.7813982324250862e-05,0.0006540405861689645
5.0,1.0,3.1,1.0000459871441691,0.003011641090770594,20.0,30.89,30.0,10.0,3.0997093225276613,0.3529619215857913,0.8475771729996204,0.09971641655468227,0.12930713640207442,0.16796628189949117,0.0024452415437708915,0.004502141755523231,0.004490076441806067,1.145669597866163e-05,0.003323578675449676,0.0004564254024055212,0.0017492953892144223,0.007968797417060929,0.0032890921853979634,9.003951316051648,10.87967676371753,10.826018229762756,20.0,30.89,-1.6,0.375,1.0470234270647791,-0.034207165851927256,-0.022841597877259395,0.038854400741781474,0.03785833435189628,0.01722341447924487,-0.00016961996786978722,1.0029475568235076e-05,-0.00014428701787155623,0.0016190379597295773
6.0,1.0,3.1,1.000042157943067,0.0029747775022931655,20.0,30.89,30.0,10.0,3.0997864593869786,0.3557496075032806,0.8467733838596746,0.10076859404844021,0.13103854987714672,0.16945690277425632,0.0014249578949555208,0.004103098559396341,0.0036181182301452557,1.1456874949406024e-05,0.003323689813137094,0.0004564288605081321,0.001019482236079681,0.007907778496579835,0.002690080207464175,9.01163544602573,10.409293776518556,11.757473095615369,20.0,30.89,-1.5,0.375,1.0812342694225145,-0.0497139579010037,-0.01527869610760072,0.027409431323596002,0.021311013612293546,0.010188616979325648,2.3287887871382053e-05,-6.919370405495988e-05,-1.8426872714501246e-06,0.0006543214309874569
7.0,1.0,3.1,1.0000420752984391,0.0030331810755837955,20.0,30.89,30.0,10.0,3.0996438046972754,0.3541756554808128,0.8470649669806993,0.10043110525279739,0.13009438272019372,0.16791587784768006,0.0026214411187076084,0.005084722223560802,0.0046856876476890266,1.1456627257405596e-05,0.00332353269169159,0.00045642894951321685,0.001875335927999652,0.008073777504230098,0.0034250014343080513,9.003437958700514,11.617552254864249,10.680785627366651,20.0,30.89,-1.4,0.375,1.0812442623167764,-0.05107943079319096,-0.014468290463489266,0.028001147656512404,0.021411355525691397,0.00941702573263915,3.4785690945019014e-05,-9.567249253058639e-05,4.755427448319328e-07,0.0006652897765229602
8.0,1.0,3.1,1.00004160697888,0.0030021589164300833,20.0,30.89,30.0,10.0,3.099936394219285,0.35231733926747383,0.8462065419253857,0.09935810969167673,0.12892310270721888,0.1676698855673248,0.0011773155365343466,0.004450621121681906,0.005331773810580466,1.1457127328741508e-05,0.0033238494789799085,0.0004564293372644899,0.0008423567605781492,0.007960995978322881,0.003876418499372243,9.017045592006061,10.816745501330095,10.305168144148178,20.0,30.89,-1.3,0.375,1.0825631613023903,-0.059297061749029295,-0.011738171830168443,0.029668893971035847,0.02617264334351941,0.012868229960941918,4.140960127652567e-05,-0.0001165585731279627,-2.2281133159299456e-05,0.0008650234787858202
9.0,1.0,3.1,1.000049797979798,0.002971133053687815,20.0,30.89,30.0,10.0,3.099829475715132,0.35642795890735907,0.8454575293901136,0.0984839903618999,0.12772188762680145,0.16701546454065616,0.0011298601157996222,0.0047936936552881474,0.005093135135447541,1.1456851595255326e-05,0.0033236797257737974,0.00045642182571301694,0.0008084157695414911,0.008019244138022555,0.0037092915545375253,9.01850654285217,11.242059881796555,10.427939656267093,20.0,30.89,-1.2,0.375,1.053209921855909,-0.06903443547859198,-0.019537190167642566,0.04223601584410893,0.05273220604191219,0.022299064464146402,0.000532333965356938,-0.00021587254120736713,0.00017901961072040208,0.0025297452112928373
10.0,1.0,3.1,1.0000454453627179,0.002929098165037384,20.0,30.89,30.0,10.0,3.100154696792413,0.3539620236974767,0.847660634624746,0.09977124954683728,0.1295921807168615,0.1684764768164371,0.0025449631911256196,0.005106583296578251,0.005872390729376496,1.1457459638561999e-05,0.0033240625599219578,0.0004564259011623426,0.0018206290278381997,0.008079216359963334,0.004256315483637744,9.003648216850204,11.645130685366244,10.078849733064935,20.0,30.89,-1.1,0.375,0.9885183645017219,-0.06858494046365045,-0.04313131325967572,0.05694107173535847,0.08368521305294443,0.045237801126906584,0.0005008712043726038,-0.0011465898568757233,0.001452957628071883,0.006143157746899842
11.0,1.0,3.1,1.0000410835629021,0.0029403981756043907,20.0,30.89,30.0,10.0,3.100020637626181,0.35086576563313127,0.8408559508879608,0.09947866005563583,0.12885672093378095,0.16759201709291838,0.001887829819423354,0.0047929659512590764,0.005037050366053749,1.1457279620028062e-05,0.0033239457091479604,0.0004564295678275234,0.0013505692391109169,0.008019685521461963,0.0036700771819637053,9.006629790151935,11.24065105252761,10.4593228647468,20.0,30.89,-1.0,0.375,0.8424276490090629,-0.0392723932571805,-0.024559080514885572,0.06755120454494196,0.11713458033137733,0.052177904008442196,-7.573176031508953e-05,-0.0002856664510701262,0.0007786630854599437,0.010498275872912941
12.0,1.0,3.1,1.0000445596330276,0.0029530152144008103,20.0,30.9,30.0,10.0,3.0994590785848315,0.35332793103669036,0.8456482980048191,0.09948069360207995,0.12885662768954528,0.16686675520326164,0.0012820729982354405,0.003427819225964391,0.0030885889360547196,1.1456291722441351e-05,0.0033233214547418303,0.00045642661622720133,0.0009172829227821201,0.007822076980648705,0.0023350494595136295,9.014371865374386,9.695207716067317,12.679831883256197,20.0,30.9,-0.9,0.375,0.7370579042198027,-0.02498669734437215,-0.02736209273575957,0.0627599797011667,0.07764146860536152,0.061094078128194576,-0.0009976164654839628,-0.0016494395492145687,0.003004634026865522,0.0068466054003326424
13.0,1.0,3.1,1.000042580348944,0.00290764835921943,20.0,30.89,30.0,10.0,3.099424020937885,0.3544358969538565,0.8457910583337593,0.10026463174039749,0.1299367905227228,0.16794181423054358,0.0014999744468838234,0.004843527491772876,0.004807993998000403,1.1456258828928869e-05,0.0033232993799677587,0.0004564284294212356,0.00107313937449702,0.008027482504584425,0.003510181722939586,9.010499640216048,11.306143724294472,10.598405639925863,20.0,30.89,-0.8,0.375,0.6548001839094686,-0.013480831457164319,-0.029046961423500595,0.057609892014965046,0.049606680734141435,0.04751266521481004,0.0002040094869640195,-0.00044600157775723486,-0.0003355826730438665,0.0040167341205863075
14.0,1.0,3.1,1.0000428099173555,0.0029894837186134424,20.0,30.89,30.0,10.0,3.0997982351184663,0.3520276608590441,0.844295999719313,0.1007459548067709,0.1304099999800268,0.16884077086727703,0.0023252992309080764,0.0031456095811377167,0.00352639393736517,1.1456885037571553e-05,0.0033236965874275035,0.00045642815080666386,0.0016634977008265393,0.007794009737857638,0.0026279638039988064,9.004369596163873,9.430067232815592,11.892573663307505,20.0,30.89,-0.7,0.375,0.5933903225143933,-0.050491916840169015,-0.014805901442300623,0.06995005271558184,0.07812713887928346,0.058942249861073874,0.001563078960946182,-0.0009495560205635418,0.0011588861309018478,0.007232186301410406
15.0,1.0,3.1,1.0000449678604226,0.0030652670355221,20.0,30.89,30.0,10.0,3.0997474758103754,0.3606594685082808,0.8520109396673294,0.10173886534693982,0.1320179305261225,0.17072302106646778,0.0026147388651404126,0.003733812220323015,0.0039187192159946295,1.1456777559958596e-05,0.003323629827209733,0.0004564265390463608,0.001870541605841398,0.007858397631713606,0.0028950410971891358,9.003455696504092,10.005064498764458,11.372073154657212,20.0,30.89,-0.6,0.375,0.5760363718120872,-0.0810257354098533,-0.03489485768000728,0.08605385945614333,0.08215348850415433,0.08232698327736483,0.0025299763040818797,0.00045271602002244055,0.0003526020250742164,0.01046128579721224
16.0,1.0,3.1,1.0000459595959599,0.0030808392564533717,20.0,30.89,30.0,10.0,3.099642909088768,0.35635513220971277,0.8463971578129522,0.10085137026868951,0.13060977805089635,0.16927588153269577,0.0017925210390011574,0.003932154008720494,0.005388169747941533,1.1456582063859522e-05,0.0033235064478116493,0.0004564253728999608,0.0012823946064902106,0.007883705685876569,0.003915969176176889,9.007352634078494,10.218467757643541,10.278406739874711,20.0,30.89,-0.5,0.375,0.5483704041141798,-0.04326151018011646,-0.04639338247018125,0.06601945865091324,0.05727743453408046,0.05523842278994911,0.00089879737111148,1.4284469838533292e-05,-0.00029859957678991393,0.005342820531710812
17.0,1.0,3.1,1.0000476951331498,0.0029705706706862137,20.0,30.89,30.0,10.0,3.0997371767765878,0.3528599702616566,0.8453511193216333,0.09969461722830819,0.12896979636718128,0.16676402193252476,0.002200993482414399,0.00445414247648133,0.0033882568080243636,1.1456725302853435e-05,0.0033235983235294997,0.00045642374045274086,0.0015745791806069226,0.007961017678390742,0.0025348558263124732,9.004876953357229,10.82140705908635,12.113905539724295,20.0,30.89,-0.4,0.375,0.5435020694650453,-0.03922181329987789,-0.037750000099710156,0.05516079900005651,0.053945606953413945,0.042225132959741556,0.00048054758544118826,-0.0005447162035682909,0.00016707638334995724,0.0038661232815382887
18.0,1.0,3.1,1.0000481175390268,0.002944316417304628,20.0,30.89,30.0,10.0,3.1002064318979623,0.3574211846586947,0.8489420290772738,0.1001169355827521,0.1298277424493944,0.16858730855084475,0.0019219379738127202,0.0029626662922172895,0.00284543788612672,1.1457517108929182e-05,0.003324100668455556,0.0004564235215099255,0.0013749670201864913,0.0077781128993844985,0.002175670935221582,9.006396834140778,9.269463917129828,13.241036904138104,20.0,30.89,-0.3,0.375,0.5463007373797168,-0.0354422899721997,-0.03776489619625943,0.0916254535519545,0.09412067903121149,0.07887347249420283,0.0014771556688448384,-0.0008062233420498286,0.0003599784674875686,0.011732057472398057
