run,tow_speed_nom,tsr_nom,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,sys_unc_tsr,sys_unc_cp,sys_unc_cd,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
0.0,1.2,1.0,1.200019458259325,0.0015754420199092132,15.0,26.26,12.0,4.0,0.9999946855598397,0.006395802219791708,0.3092092633896338,0.08187040576488248,0.02859667642766188,0.06448028403226379,0.0002745942706763762,0.00021658821782101167,0.0008635649678420414,7.334260062928217e-06,0.0007445922588348349,0.00031696991360740805,0.00043616112557989887,0.0017231341119326874,0.0012907397926323844,3.0171366801025123,8.332086259035359,6.40688090722865,15.0,26.26,0.0,0.0,0.865354852822426,-0.0009612124903722137,-0.03753027600652554,0.18425413542159433,0.22624641760854947,0.1471382018299213,0.0024076362585624773,0.00017304912243183048,0.00018501822346445433,0.053369551292697985
1.0,1.2,1.25,1.2000441385435165,0.0024925909688312937,15.0,26.26,15.0,5.0,1.2502050462230445,0.00806684532099936,0.35029147710227393,0.09510781120844587,0.04023434500672404,0.08607144765122716,0.00021035013699194938,0.0004141134054656005,0.002943203099474361,7.498814499194978e-06,0.0009308390455963905,0.0003169576181588706,0.0002607190523120295,0.0021615356447219755,0.003608121322473727,4.050914350859667,8.618869051903951,4.469832491762622,15.0,26.26,0.0,0.0,0.8588006231564121,0.033411293781166605,-0.04052711112999047,0.15306490725500765,0.17556676953800812,0.11237525433613396,0.005343125355054985,0.0010082230379675995,-0.00040174898277690836,0.03342550470641121
2.0,1.2,1.5,1.2000381144781147,0.0034166967068462377,15.0,26.88,19.0,6.0,1.4999244641732112,0.028558951492969997,0.4012289133446265,0.1439796048648591,0.07853186652192486,0.13546202136457483,0.002687041231428871,0.0019413091575196737,0.0028035609623769174,7.694951475090024e-06,0.0011167357576881685,0.00031696184797787535,0.0028198627507351392,0.0029615104453167306,0.00293367331359783,5.000492060344601,12.865948455437401,5.775090125291477,15.0,26.88,0.0,0.0,0.7911849338285407,0.016560810817945575,-0.02547108494529619,0.1690405480612783,0.18596938766714113,0.11214067318131875,6.984595494128922e-05,0.0003127463137158364,0.0008589429728191069,0.03785142235271245
3.0,1.2,1.75,1.2000335877862596,0.005563580957882257,15.0,26.79,22.0,7.0,1.7498748701517965,0.05034788497524663,0.4609562348440713,0.16673369956198839,0.10324658535796506,0.15566645988180222,0.004883699277628244,0.004886556859076556,0.0027827691487529813,7.920693759625298e-06,0.001302837127285026,0.00031696564786243584,0.0045166697734588925,0.004956099270610193,0.002590500824825395,6.000220957579086,11.349159600085935,7.095401996222246,15.0,26.79,0.0,0.0,0.7217965017123714,0.036679148683423535,-0.030261773461777056,0.16213529525361184,0.18690105902567442,0.11385247516109939,0.00511762602166669,-0.0010080273557207938,-0.0014015298658757766,0.03707533338334229
4.0,1.2,2.0,1.2000767433930093,0.004681881380972172,15.0,26.73,25.0,8.0,1.9995078244534907,0.11465457985097281,0.5351674211966512,0.22631698070657733,0.15593866431000758,0.17929118901964863,0.005875148008683993,0.007524456124122724,0.0051197598546578885,8.17295811076886e-06,0.001488729662743757,0.00031694487765640626,0.004911753843155531,0.006701162015643181,0.004294914515663427,7.000216740147646,11.116828948693941,7.429695354783242,15.0,26.73,0.0,0.0,0.8225686194939764,0.10343864905013249,-0.031357630151266414,0.22483470576790526,0.24315066442012115,0.14477017617155036,0.01437401513317824,0.0017939977868879926,-0.00010051004223326633,0.06528773598192095
5.0,1.2,2.25,1.200033376178235,0.004100464860522041,15.0,26.67,28.0,9.0,2.2505801622852095,0.1877473031724956,0.5972931628712201,0.1976350121698764,0.15297684735312503,0.17210065657929274,0.006735960521325612,0.007897162326741227,0.007101047890243912,8.45188472811321e-06,0.0016758281532018452,0.000316969712288138,0.005177728747898466,0.006712891247881525,0.005474068679001001,8.000226709936976,13.569692286225584,8.286822693280886,15.0,26.67,0.0,0.0,0.5937815451283055,0.010476415054445309,-0.029689374505805576,0.13196260700710574,0.14571483540887278,0.08894265747645574,0.004282568142982606,0.0005307090123253448,0.0003001114646142201,0.023268885498545867
6.0,1.2,2.5,1.2000759212050987,0.004452122114624942,18.0,26.63,23.0,7.0,2.4995115105364767,0.2772119439421192,0.6736004367130182,0.16235690630982055,0.14352837683971595,0.17626503030004015,0.0023248468466459528,0.004917107903202295,0.004856498488023429,8.750013219380515e-06,0.0018611129416676421,0.0003169498943233026,0.0021501279747769123,0.005651957508713791,0.00449634257654806,6.001189908008701,13.719782464736342,6.358872427787918,18.0,26.63,0.0,0.0,0.5411763337209579,0.005413673368974903,-0.02583661655569503,0.11097453151288846,0.12026649797027826,0.06799997431219289,0.0021943126288976574,0.00014890160644470134,0.00021067863094347867,0.015692585550312305
7.0,1.2,2.6,1.2001043187066978,0.004389257188700521,18.0,26.66,24.0,8.0,2.5995869280049413,0.30631929832971894,0.7041433274369268,0.14561769572432404,0.13553972164129754,0.17188798797465285,0.0019071143284389298,0.0029844905183964133,0.0026762800358105005,8.875494076338806e-06,0.0019355563127004549,0.00031693604846841074,0.0015944136309700991,0.004793281437424464,0.002274972903251379,7.002425796321466,12.227426421466836,8.564500439960526,18.0,26.66,0.0,0.0,0.5291588676760887,0.022805314790632344,-0.02396651273394352,0.10942607316155906,0.11547685866841022,0.07136959284064803,5.834027969210171e-05,-7.374535498171392e-08,-0.0004162725320050344,0.015192513629043556
8.0,1.2,2.7,1.2000245454545457,0.004670342371980511,18.0,26.69,25.0,8.0,2.6997042429818388,0.3355908805503681,0.7364913577424489,0.12853369783510324,0.12655250801718684,0.1730029974137118,0.0022431730065949657,0.003280504581672275,0.0028858377425536362,9.004893922390668e-06,0.0020103764783777627,0.0003169794620909899,0.0018753624453039675,0.0050297334111278486,0.0024459567928162393,7.0018049001360545,12.614593608271415,8.348412320016305,18.0,26.69,0.0,0.0,0.5083527038403293,0.027746682100772396,-0.02453509783125788,0.10123459709469103,0.10025847034357759,0.06840572176154718,0.0012948710190710984,0.0005497939716772604,0.0004286390171229317,0.01248257901297968
9.0,1.2,2.8,1.200048783008037,0.005162772099647482,18.0,26.71,26.0,8.0,2.7996915948102448,0.3560117861223887,0.7674529436296592,0.11416460893370635,0.11812567823786534,0.17303378748051834,0.002232918287887079,0.0017181845260392913,0.002815465379139719,9.136242693951084e-06,0.0020847294983397913,0.0003169679301065184,0.0018667900672263663,0.004885054153051514,0.0023884401132011953,7.0018750430573595,9.339259013100113,8.415801590747979,18.0,26.71,0.0,0.0,0.48992935120032344,0.016651349942992128,-0.015266934583825942,0.10149201409695563,0.10145174210372018,0.07310326832079599,0.001430843522762861,0.0006235893828919949,-0.00033972473522174976,0.012961138321737845
