run,tow_speed_nom,tsr_nom,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,sys_unc_tsr,sys_unc_cp,sys_unc_cd,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
0.0,1.0,3.1,1.0000321671258035,0.002930796652985889,20.0,30.89,30.0,10.0,3.1000064406238836,0.3535218007121245,0.8451698282283546,0.10063822462734051,0.13017934014821236,0.16747704483750447,0.0015064836809178899,0.004680773455856605,0.0038742325391701604,1.1457363621946097e-05,0.0033239934900687745,0.00045643790624499465,0.0010777952937589131,0.007999913147093984,0.0028645925121814275,9.010411113261387,11.09936512406019,11.424199137871867,20.0,30.89,-2.75,0.25,1.0678038576024904,-0.03269605143922548,-0.038934622595813914,0.02424057359366336,0.020921916524029412,0.006778685965007762,-1.0614726048267135e-05,-5.566361226265601e-05,1.3945230214892044e-05,0.0005353952675552513
1.0,1.0,3.1,1.0000354862385326,0.002952249209580907,20.0,30.9,30.0,10.0,3.099545046041682,0.35624670092289296,0.8473806626229209,0.10115337121537049,0.13108420088385436,0.16894694540958433,0.0022606550983012286,0.008644514241835417,0.008247563817708938,1.145654553550984e-05,0.0033234768146894883,0.00045643497848413516,0.0016172563262517113,0.009123324148094749,0.005937477574383357,9.004622790969712,15.983450752194676,9.549653241408022,20.0,30.9,-2.5,0.25,1.073117432052936,-0.033311467935542634,-0.0375573395691607,0.024483335451520424,0.020938441193193016,0.008814696109957162,4.441156354077786e-06,-6.474832028705665e-05,-5.050199791673668e-06,0.0005575195906730756
2.0,1.0,3.1,1.0000362110091743,0.0029287066403023945,20.0,30.9,30.0,10.0,3.0994245296121585,0.3531484390196665,0.8450470093610764,0.09971996400068026,0.12882522455655862,0.16699355389606282,0.0013654933548022197,0.006015883173458188,0.004816770048808535,1.1456330272133803e-05,0.0033233407389568954,0.00045643420882131297,0.0009769494784342388,0.008281030278925842,0.0035163013744044253,9.012669661884647,12.873198322880633,10.59276345741834,20.0,30.9,-2.25,0.25,1.0272644620296385,-0.026536730934873895,-0.041552800805324176,0.052267085985496196,0.05606496647202708,0.0303595089401627,0.000663164443415036,0.00012233666656614605,0.00015787921525392217,0.0033968539258791126
3.0,1.0,3.1,1.0000301469237836,0.00288139393971961,20.0,30.89,30.0,10.0,3.099750061211557,0.3496494573033308,0.8408722780930378,0.09941222559197878,0.12848688046719575,0.16639324563601043,0.0024519096288159207,0.004314453215113014,0.006667593317235008,1.145695178997683e-05,0.003323731082806611,0.00045643955163061537,0.0017540652491743163,0.007939252993656255,0.004817485994344153,9.003930029481392,10.654249966403352,9.83898712439673,20.0,30.89,-2.0,0.25,1.0752853871158818,-0.03559650737765076,-0.03702759899785048,0.02335894674833384,0.02084206335288348,0.007578590948416541,1.8524256773852324e-06,-2.3498645379834824e-05,1.6447467122278453e-05,0.0005184951186732583
4.0,1.0,3.1,1.000038668503214,0.003011986960090201,20.0,30.89,30.0,10.0,3.0997654761609432,0.35269140578670194,0.8428886469697411,0.10014567150629249,0.12932101028155607,0.167727146605973,0.0016568275499867135,0.005719443615376412,0.006662349817345412,1.145687422407665e-05,0.0033236871792353606,0.00045643186569299915,0.001185333733304767,0.00821030118011696,0.004813776873887387,9.008606708417101,12.467634125627562,9.840269777571157,20.0,30.89,-1.8,0.25,1.074769406456656,-0.036167279477708425,-0.03927009658897394,0.02226307306663279,0.02008230328545073,0.007846270622404608,-1.582090044676108e-05,-4.957170016969094e-05,-2.4581082134140228e-06,0.00048003299916196505
5.0,1.0,3.1,1.000033930211203,0.002961318227824304,20.0,30.89,30.0,10.0,3.0997736332616905,0.35413702441495765,0.8465957815652226,0.10135632826819245,0.13107637240890943,0.16925588651475093,0.0016123382473440552,0.0068902622691375415,0.006647546283086211,1.1456949738957579e-05,0.0033237321467506154,0.0004564363624054756,0.001153511066318276,0.008521246995608668,0.004803311587635901,9.009088336071098,14.047433664696502,9.844003145087424,20.0,30.89,-1.6,0.25,1.0391676611839,-0.025906795229755523,-0.031366100272822134,0.036011308506720366,0.0369169826343154,0.015231323263856173,1.0480246829468356e-05,-9.363086765847127e-05,-4.77537954965845e-05,0.00144517158020948
6.0,1.0,3.1,1.0000353627180902,0.0029416724773156603,20.0,30.89,30.0,10.0,3.0999937765295638,0.34877868958714453,0.841011993899134,0.09897272672330365,0.1276456862808004,0.16650040528076734,0.002102679664243468,0.0040944628728708,0.004787400903904781,1.1457297312495521e-05,0.0033239533855319667,0.0004564347968128486,0.0015042536200490445,0.007907127135375891,0.0034958316770686646,9.005344197997273,10.399117073432004,10.61189878987985,20.0,30.89,-1.5,0.25,1.0748645538742987,-0.03985445369675343,-0.031631313226526965,0.02489761263609876,0.020704017668359952,0.009481043746917056,2.6711166508789343e-05,-5.889082429584385e-05,-3.918675014603101e-06,0.0005689574772364809
7.0,1.0,3.1,1.0000402935779815,0.002981659352782621,20.0,30.9,30.0,10.0,3.0996641206533253,0.35335076080940686,0.8450070842900803,0.1017222147773132,0.13161755229824157,0.17005978655367857,0.0020671517376418974,0.006480716740314623,0.0051250620575958835,1.1456693970674288e-05,0.003323573888291899,0.00045643048042481437,0.0014788399637996367,0.008403502049578432,0.00373162980988696,9.00552889105749,13.504657543400667,10.410595841463078,20.0,30.9,-1.4,0.25,1.0811349865052544,-0.052632981220830946,-0.028711529746912608,0.02438070966684814,0.021689589884248472,0.007958152347737743,1.4751575278594557e-05,-5.217383883776585e-05,9.304810009304678e-07,0.0005638356980391824
8.0,1.0,3.1,1.0000333792470157,0.00291040566682386,20.0,30.89,30.0,10.0,3.0999635217056327,0.34923643025406537,0.8436473872078144,0.0989322155899887,0.1277889828213003,0.1670478952265449,0.0020242610373060617,0.003478814617228521,0.004806913695887914,1.1457274225855069e-05,0.003323937526614966,0.00045643672903667446,0.0014481596961902407,0.007829079190470973,0.003509431599900154,9.005766248349357,9.7446344259445,10.599163850699732,20.0,30.89,-1.3,0.25,1.0805911803442676,-0.058074057149968994,-0.028128868449634203,0.02948781685049524,0.029337500692648868,0.01170558911899371,9.755017740839827e-06,-0.00012899061368133873,-3.8919624731753584e-05,0.0009331912493683968
9.0,1.0,3.1,1.000034471992654,0.0029463628687525036,20.0,30.89,30.0,10.0,3.099564531752709,0.35438730373697586,0.8453586736910735,0.10130394465496122,0.1308635863151814,0.16977191281072265,0.0014357056698799224,0.004179716090132799,0.004201023728664511,1.1456591661054113e-05,0.0033235054244878997,0.00045643581068555156,0.0010271697580902055,0.007918476573005729,0.00308912677667392,9.011461331129125,10.49729086573196,11.076587299016992,20.0,30.89,-1.2,0.25,1.0427973341361128,-0.06894490372756654,-0.03582596692040522,0.045991062299257514,0.06372205600067406,0.029954135146945858,0.0006355067288478073,-0.0003065843821358788,0.0003023820894933264,0.0035348394861277584
