run,tow_speed_nom,tsr_nom,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
0.0,1.0,3.1,1.0000421671258042,0.0029591937835266187,20.0,30.89,30.0,10.0,3.099934546289981,0.3542509442682702,0.847587500659881,0.09935610109061109,0.12845532594838335,0.16527841341894703,0.001612236413527079,0.006006413499260676,0.007799348673985892,0.003844443022025705,0.015348203665454703,0.01860707268624803,9.000909001449926,13.890709244388214,9.061631591799138,20.0,30.89,-2.75,0.625,1.0750036759829928,-0.032745980619990636,-0.04174472001972168,0.017133986632792596,0.01947548102183445,0.006581877673556929,-9.29375813295521e-06,-3.4826415761546686e-05,9.971431498691093e-07,0.0003579300010173205
1.0,1.0,3.1,1.0000439633027527,0.0029147499093125787,20.0,30.9,30.0,10.0,3.0994865523187984,0.3545408188907601,0.8458689453325361,0.10026058487505433,0.12957107370732904,0.16630844125877464,0.002616530801204268,0.0058153606967035944,0.005536742070895084,0.006239195287560809,0.014941244974757559,0.013215794806302254,9.000345073914675,14.141628508930854,9.122264348986814,20.0,30.9,-2.5,0.625,1.0746527344029486,-0.032598982402866586,-0.042504850019621246,0.02441489439175972,0.0252739668762257,0.012258973902091961,2.926811542242183e-05,-1.8583804119364585e-05,2.12916496217916e-05,0.0006922521151671334
2.0,1.0,3.1,1.000042167125804,0.002983689485140382,20.0,30.89,30.0,10.0,3.099419143625903,0.3550785992891055,0.8487546523594772,0.10048124669278874,0.12992376890554258,0.1679887677566593,0.0020173527657814353,0.003717474869621951,0.0030393799584791962,0.004810446625834842,0.01084261890455614,0.007272863208942823,9.000580487583706,16.95257908143944,9.405123935975276,20.0,30.89,-2.25,0.625,1.0615089820420782,-0.04180600465367834,-0.036250115502730995,0.036398515354637555,0.03496888336854972,0.02063109160959466,-0.0002506364234520176,-4.258827191781004e-05,-8.077621714239012e-05,0.0014859725906572212
3.0,1.0,3.1,1.0000411467889914,0.0029352972693835852,20.0,30.9,30.0,10.0,3.0995825520789086,0.3556265741277511,0.8494533171432674,0.10011058101785537,0.12953211819695823,0.16575213238055217,0.00359552046101145,0.008281028014357912,0.00847844893766045,0.008573613940850846,0.0203912042372539,0.020225639898599154,9.000182749304328,11.78869553958101,9.052156098973587,20.0,30.9,-2.0,0.625,1.075393760023778,-0.037505504476609254,-0.038987150169591006,0.018336716868061674,0.019306005881654972,0.006824429505295578,-5.067286000393352e-06,-3.1922870209411024e-05,2.9402186759148213e-06,0.00037759161637238053
4.0,1.0,3.1,1.0000467981651382,0.003103314054761373,20.0,30.9,30.0,10.0,3.099329826891713,0.3553848342275801,0.8496780305530351,0.09995638866247275,0.12893448235719057,0.1667457786820164,0.001980494742384282,0.005096032312632667,0.005124338989299868,0.004722558238846648,0.013448586839554294,0.012233531613850115,9.000602272102853,15.19139618615241,9.142721383912505,20.0,30.9,-1.8,0.625,1.0769113887330608,-0.040870123845396865,-0.03627431204696314,0.019194982310693342,0.019117685090350525,0.008345894311628374,1.544559498743109e-05,-1.9033824771973586e-05,9.062851894287122e-07,0.0004016091654344932
5.0,1.0,3.1,1.00004309174312,0.0029155985138717643,20.0,30.9,30.0,10.0,3.0993963822706414,0.3575136059069219,0.8486782881442696,0.10132130432192478,0.130908456672507,0.16781105274109087,0.0014490568876061676,0.0035806782414667124,0.003616088341883207,0.0034553408557596627,0.010610271424051387,0.008643587980103805,9.001125075147502,16.99582684254475,9.286406273622296,20.0,30.9,-1.6,0.625,1.0369009151918078,-0.04041486926867911,-0.027349082641399663,0.03195150896279292,0.0338667171626068,0.01509616336817979,-0.00011921367970297755,7.2553001015434725e-06,-5.4214524016731116e-05,0.0011973241982830448
6.0,1.0,3.1,1.0000450964187335,0.002906305744634504,20.0,30.89,30.0,10.0,3.0999662587108,0.34680157148716395,0.841211437443821,0.09894693760372375,0.12755292824986106,0.1655679975712236,0.001962536319585342,0.002844051823008596,0.0025335465178247113,0.00467973618063128,0.009476724190892552,0.006072588903983114,9.00061346230505,16.256636953812855,9.582316600807603,20.0,30.89,-1.5,0.625,1.0739545451324943,-0.041667126004966415,-0.017351239729111227,0.02041920140886805,0.02013025648171047,0.008601478962943032,-1.5360435715377497e-05,-5.3422769638384895e-05,-9.629178746390387e-06,0.00044787249705949375
7.0,1.0,3.1,1.0000393211009178,0.00291413752760703,20.0,30.9,30.0,10.0,3.099559463912763,0.3494564690921186,0.8435580081961094,0.09882944363314121,0.12759460159287297,0.16528071542585365,0.0018971050595887192,0.003566984017570101,0.003617708494458606,0.00452371463099683,0.010587619577511309,0.00864744132759068,9.00065643840987,16.997636098478875,9.28615421639657,20.0,30.9,-1.4,0.625,1.0774658107604387,-0.04232660566783433,-0.017460091805583243,0.0203148587357139,0.01911086299290028,0.009724038286354536,-2.173081033165019e-06,-4.905731687318966e-05,-9.59902273727996e-07,0.00043603759269311866
8.0,1.0,3.1,1.0000428925619842,0.0028062563322928426,20.0,30.89,30.0,10.0,3.099929297621964,0.3489912281020539,0.8444832915423927,0.09916741308162765,0.12799299700306727,0.16377181607656918,0.0015571690374531484,0.004210552743081982,0.0038667685573517884,0.0037131345929604046,0.011725752940457346,0.009239868262936976,9.000974426432343,16.502434043668174,9.250523038164127,20.0,30.89,-1.3,0.625,1.0854435259317234,-0.03490629322140455,-0.019857667661481514,0.02004420308059499,0.018949319114600145,0.010323296689253199,-1.2212496546870367e-05,-3.332070972568394e-05,-2.0598510877952018e-05,0.0004335094438287425
9.0,1.0,3.1,1.0000430486685037,0.002918731473470197,20.0,30.89,30.0,10.0,3.099974983330724,0.35239355874313094,0.8464326471992955,0.10040354359334966,0.12952914955159564,0.16773466926881356,0.002311499787714168,0.003704956479626146,0.003293447742513017,0.005511844108214313,0.010821907207828853,0.00787651422470086,9.000442221219663,16.958655969318162,9.345154660659718,20.0,30.89,-1.2,0.625,1.0851588626319493,-0.027258731687598972,-0.02534037676362212,0.02003947562923,0.01954471837901997,0.00969253385267972,9.93709197489391e-06,-3.516895724710057e-05,-1.291465584275349e-05,0.0004385593644510828
