run,tow_speed_nom,tsr_nom,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
0.0,0.6,1.0,0.6000047046759639,0.00140967467498538,20.0,44.38,13.0,4.0,1.0000574408089373,-0.01396789123274407,0.29257609477983204,0.018388952007555973,0.010604670713405318,0.07827802084491221,8.702559816380756e-05,0.00014536819026620955,0.00422789932421045,0.00013163163121864146,0.006869452612433659,0.006233508829634638,3.7026851487948047,8.009522204128164,5.289888905488914,20.0,44.38,0.0,0.0,0.43585649661346043,-0.021020131537168658,-0.019643253254723117,0.09345098667509939,0.10143981338003734,0.0648925751802053,-0.0005055046749969874,-0.0002664363187242465,-0.0001456415995061444,0.011614697414158503
1.0,0.6,1.25,0.600003523531862,0.0014313600523775314,20.0,44.01,16.0,5.0,1.2499317204629081,-0.020928279015949743,0.33097439771569015,0.024258508526246125,0.01660551129730469,0.0877729089105708,0.0002110499549378509,0.00043282698110380533,0.0042719070074684305,0.00026035750003531514,0.008588669182172501,0.005340742487342168,4.203206492507972,8.043193072806766,7.56571427689034,20.0,44.01,0.0,0.0,0.4160283333947882,0.0059689518403536306,-0.011700333200041352,0.08825412049550094,0.0968457737390885,0.0645843646305689,0.0006322615691686532,0.00015677913190394635,-0.00033508375983386593,0.010667294076503384
2.0,0.6,1.5,0.6000061111111112,0.001361041003393919,20.0,43.76,19.0,6.0,1.4998623904561976,-0.023219873660996836,0.37749780806919075,0.041044422891058245,0.03495280463900171,0.102822478126998,0.00012714069122903986,0.0008405566539444473,0.00450681526963528,0.00013307789926227605,0.010311062326584448,0.00501194978169471,5.88937663592403,8.094236382280824,9.53267731644599,20.0,43.76,0.0,0.0,0.38382543696243154,0.02221931672748041,-0.009869739104020966,0.08475198732661664,0.09546664877782883,0.05861906683480424,-0.0002579260731477465,-0.00041379122596460304,0.00020818940709739034,0.00986440890986661
3.0,0.6,1.75,0.6000072871046231,0.0019376517312789034,20.0,44.66,23.0,7.0,1.7499750132872738,-0.01672484071613646,0.4312477906071859,0.06182321048307496,0.0663503280522517,0.13432892042369074,0.0002692395507170221,0.0017674184592957219,0.0031971275635504165,0.00024920024777100346,0.012051161052664083,0.003759839470518487,6.2915743075736215,8.262003877895731,13.872616209849994,20.0,44.66,0.0,0.0,0.39589756585914515,0.024083062580009848,-0.021218705671419195,0.09257775629262001,0.08046870747869461,0.05783048777147739,0.0010149021460713142,-0.00023759043234048807,-0.00020887591264880936,0.00919324357685233
4.0,0.6,2.0,0.6000020910209102,0.0015283573639368851,20.0,44.39,26.0,8.0,1.9999531064748919,0.009859032032915138,0.4966866620627761,0.0907627761870226,0.11467845193915856,0.15988512847128752,0.0007424305409422849,0.003244475953864968,0.005267521375146046,0.0006209206962923429,0.013823271006332767,0.0048821974326507265,7.054315556296608,8.590808601509893,12.62048518974629,20.0,44.39,0.0,0.0,0.3686984616067165,0.013884788813208263,-0.01257626075426849,0.08153397095283083,0.08463791245972785,0.05370717229883722,0.0005148710829594929,-0.00013762849046855443,-0.00023466643598565645,0.008346200742105053
5.0,0.6,2.25,0.5999844251447478,0.00427528315457589,20.0,44.18,29.0,9.0,2.2501651564569864,0.062258294341449326,0.573564601401256,0.12762514687832174,0.18286208663838036,0.24403845261693563,0.0007368949380415213,0.004327337571323072,0.005333400468626494,0.000566841318051975,0.015579548557493541,0.004669365479198156,8.075768050144372,8.739505591010778,14.465971523091634,20.0,44.18,0.0,0.0,0.35806411607990346,0.015710558991866692,-0.013236559194908805,0.08008428828008854,0.07791634888910641,0.050232615922954985,0.000713903383837004,-7.69698555164255e-05,0.00024310434815428303,0.007502330589663734
6.0,0.6,2.5,0.6000087807832056,0.0029470647541439687,20.0,44.77,33.0,11.0,2.4999375327588096,0.12416544121908568,0.6487245107279503,0.14670918170409444,0.23090033261020912,0.23718968026310955,0.0018653137132800136,0.00667518974417489,0.008881411721906714,0.0012534130196213303,0.01739806872350616,0.006350411546540619,10.01936466276776,9.172591563460298,14.100299935635817,20.0,44.77,0.0,0.0,0.3017612213850341,0.004704609778524237,-0.010730318942383235,0.09009809852476615,0.07953729370900146,0.0588924216409999,-0.00019491386444290605,-0.0003072879941832744,0.00036943783075019446,0.008954272680809259
7.0,0.6,2.6,0.600009465960049,0.0020745596038810117,20.0,44.53,34.0,11.0,2.6001576767110275,0.15860239630504616,0.6838278050903046,0.1338186668526487,0.22422341743140342,0.21059670360313235,0.0014413487607001008,0.0042277713381834,0.004222455409864824,0.0009686821895185149,0.01793793919598298,0.0037779976190957724,10.033369076909906,8.43440517032893,17.79376879506121,20.0,44.53,0.0,0.0,0.25987545946265367,-0.010170373434534,-0.006966367741318513,0.05839453026900173,0.06421376740488723,0.039039214139144233,0.00011259713981805754,-0.00014110072382032162,7.84163709866852e-05,0.004527770575700552
8.0,0.6,2.7,0.600005431743421,0.0017680389058716086,20.0,44.32,35.0,11.0,2.7000748279969122,0.1923347494595925,0.7210751133914608,0.12235122988052236,0.20833678088922242,0.20223231412984585,0.0010953093117232321,0.005733050569303892,0.005274908779506023,0.0007363422335601741,0.018692298246078477,0.004277116241642439,10.05946042970196,8.741343016991149,17.77530057379262,20.0,44.32,0.0,0.0,0.24425123585848355,-0.01038564380039187,-0.011258018123139903,0.05441532975008229,0.05941611250028501,0.03162824236479368,0.00015556560733660777,0.00015281156396764015,0.00019830942825785393,0.0037450533631709876
9.0,0.6,2.8,0.6000039612747076,0.0015178199650187601,20.0,44.79,37.0,12.0,2.7999837596154373,0.21625488048708152,0.7548123898703972,0.11541793300658743,0.19968345063350676,0.19387343303403368,0.0009857925899075623,0.003530781358783249,0.004718276926904536,0.0006270074416725671,0.019276881186634915,0.003896827827466159,11.090640087115059,8.239438626057572,18.85565837443351,20.0,44.79,0.0,0.0,0.2171742028470663,-0.009908815878209508,-0.006490722079715305,0.0539017520041085,0.05272515972310983,0.032747316587484074,-3.868781467132396e-05,0.0001079630108118364,0.0001681622746372439,0.00337818224979067
