run,tow_speed_nom,tsr_nom,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
0.0,1.0,3.1,1.0000480440771355,0.0029448477895298547,20.0,30.89,30.0,10.0,3.0998474025038107,0.3519061255917897,0.8485024519754417,0.09984849328514739,0.12908338016656465,0.16778077133891106,0.0019481128097573054,0.004604625676912702,0.005363500530153958,0.004645343159942018,0.01247379944712964,0.012803144961025768,9.00062255558323,15.950395642846457,9.130283597862373,20.0,30.89,-2.75,0.75,1.0673898102166568,-0.033381609188596145,-0.04176675860365533,0.01773970761706002,0.0189505149810339,0.0061663329106058885,1.758950847679983e-05,-2.658356464548428e-05,2.5142596149507014e-06,0.0003557579226151379
1.0,1.0,3.1,1.0000519651056021,0.0030345288282213265,20.0,30.89,30.0,10.0,3.0996707097113476,0.35361544125235,0.8502984901394302,0.10040622237401944,0.13004388141018317,0.1693864178637655,0.0014543840137858908,0.006327405296472996,0.00620133831572435,0.0034680433978589767,0.01603887976302693,0.014799062427520545,9.00111691884945,13.495482609317108,9.097469722369416,20.0,30.89,-2.5,0.75,1.0359829822152495,-0.0393639706167318,-0.04951630699878014,0.05431210002261259,0.055594119192343285,0.03312756426377792,0.000759592370140052,0.00015644344142364054,0.00016678670862458966,0.0035673322451327694
2.0,1.0,3.1,1.0000460789715342,0.002956374688558615,20.0,30.89,30.0,10.0,3.0999066660021675,0.35647354851572455,0.8541035382627619,0.09996528538163382,0.12945073507168062,0.16749989406614743,0.0022315025739723976,0.004215759279194438,0.005114112700321165,0.005321089614706311,0.011735362296871476,0.012209177113997027,9.00047448388708,16.495836353032924,9.14329290778004,20.0,30.89,-2.25,0.75,1.0625872580078282,-0.04124341809129511,-0.03117437569984941,0.029937909993939926,0.03426464587612083,0.020015325694923557,-0.00014859937451878167,-9.2742516604535e-05,2.0179964204979532e-05,0.001234908144459367
3.0,1.0,3.1,1.0000454954128446,0.002938208518643593,20.0,30.9,30.0,10.0,3.0991868132776403,0.3525410883611118,0.8505326869461788,0.0993646295519295,0.12838482038230203,0.16643152847176193,0.0023344655948050797,0.005228056336081369,0.006100280938259323,0.00556660640589494,0.013717233110050629,0.014558291881798201,9.000433460319853,14.988786871387944,9.100727086877045,20.0,30.9,-2.0,0.75,1.07918081884266,-0.03911932080411602,-0.03476146810235233,0.019916937126870884,0.01890912717054073,0.007012738757989198,-5.4071437727392855e-06,-3.577752103472084e-05,2.3955272383539595e-06,0.0004015246403088118
4.0,1.0,3.1,1.0000530027548216,0.0030053720334974783,20.0,30.89,30.0,10.0,3.0998566804041587,0.35219819047082906,0.8498949653889813,0.0994794315446652,0.12856758636709056,0.1661670695803963,0.0026775814115727733,0.005882480049852937,0.006160161362916165,0.006384771479036687,0.015083919633133169,0.014700956766506712,9.00032954747616,14.052413157692676,9.098776175063605,20.0,30.89,-1.8,0.75,1.0769457989840756,-0.04180853990412465,-0.03659733720602685,0.019681138465421938,0.01924045997851245,0.007913051351947191,-6.780669745075731e-06,-4.211182187009425e-05,1.6965147374580524e-05,0.0004098911231685775
5.0,1.0,3.1,1.0000472543618004,0.0030272691643851253,20.0,30.89,30.0,10.0,3.1000739842078,0.3476876324357159,0.8454457102437541,0.09916701180204655,0.12791887812437922,0.16624616405461834,0.0011925724148635992,0.0036640619337940847,0.005671784257519442,0.002843754479650633,0.010752109299544557,0.013537476104569313,9.00166136342984,16.975032252613325,9.11651290306279,20.0,30.89,-1.6,0.75,1.0436694218654825,-0.046442351997513405,-0.02223966951950011,0.034887824607193606,0.03422187170345001,0.01590103318748859,-0.00021778939836118727,7.507998192485992e-06,-0.00010558898517616511,0.001319963386834111
6.0,1.0,3.1,1.0000496143250694,0.003036576895973474,20.0,30.89,30.0,10.0,3.0996733492119084,0.35232570493169313,0.8490560986128496,0.10025570836056563,0.1294648254737031,0.16835102547045888,0.0017016530595672834,0.004783137742251108,0.004935333751018607,0.004057657589159834,0.012822981924162685,0.011783425197432687,9.000815906144455,15.677209529953103,9.153852638719968,20.0,30.89,-1.5,0.75,1.0777837480559493,-0.050475206761043674,-0.01900459144914846,0.022191727216818176,0.018707834646139163,0.008493396509372687,5.360978435370514e-06,-4.618097050631933e-05,3.137040837784864e-07,0.00045708684733517636
7.0,1.0,3.1,1.0000453351698813,0.0028647161877199084,20.0,30.89,30.0,10.0,3.0998161478037027,0.34729767259809013,0.8428071734024966,0.09928560472205822,0.1284014274308635,0.16731911777540065,0.0020477349877624134,0.004206646428153155,0.004091863642620246,0.004882893401870352,0.01171835509375272,0.009775460001059843,9.00056345291839,16.507108065919297,9.223746907349437,20.0,30.89,-1.4,0.75,1.0782369163410723,-0.04484618930625015,-0.022536731071787722,0.020626987305702817,0.019325268358038227,0.008398590232745591,1.910864467505588e-05,-3.049313916623509e-05,1.310745550950244e-06,0.00043453785618249646
8.0,1.0,3.1,1.000044733944955,0.002902610661392502,20.0,30.9,30.0,10.0,3.0994665404642276,0.35484863760466306,0.8509377044745332,0.09953731230654832,0.1288348647489479,0.16521787845138503,0.002838613755509227,0.005592656927292038,0.0038761261382557624,0.00676875584598289,0.014472230688649595,0.00926213063993623,9.000293189604816,14.451076630546899,9.249314958879356,20.0,30.9,-1.3,0.75,1.077826147287264,-0.04290366974705189,-0.026944470091027514,0.019931651268995043,0.019251955820162325,0.007656847339050211,2.1857101441763275e-05,-8.728740038171697e-06,1.1926802443675986e-05,0.00041307833958136936
9.0,1.0,3.1,1.000045730027549,0.0029908286344254484,20.0,30.89,30.0,10.0,3.0994813401125776,0.3506397923530845,0.848668737487192,0.09992457587999069,0.1290491649180044,0.1680343933572171,0.002516718505783065,0.003953175837815988,0.004744830036896023,0.006001191259967743,0.011256238601141328,0.011329801083707824,9.000372986040453,16.784911698358417,9.166447880854905,20.0,30.89,-1.2,0.75,1.0799931070274291,-0.038710477976297515,-0.031859045163014195,0.0193031805647998,0.01907959862810422,0.009367692606436275,9.23165852953416e-06,-2.8915326282259756e-05,4.654089666124665e-06,0.0004120093531846496
