run,tow_speed_nom,tsr_nom,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
0.0,0.8,1.0,0.8000148281990527,0.0017260205112923194,18.0,34.88,12.0,4.0,1.0000628833246403,-0.0030336089301718724,0.3164399775892903,0.05044686513944539,0.025548557611791863,0.08043254562322553,0.00010700849290994085,0.00015563388805950825,0.0031381543576089873,0.00039018941490737656,0.003874413430419654,0.011146721097340427,3.0636249384986125,8.137037948766483,3.3145684120561905,18.0,34.88,0.0,0.0,0.5920472373024948,-0.014078635130787836,-0.024447407422690755,0.12152289458657689,0.14619560224510741,0.08234104772754544,0.0017826105628564101,-0.00032872139550642446,-0.00047228164886091006,0.021454138865918078
1.0,0.8,1.25,0.8000121978672993,0.001533679645519456,18.0,34.88,15.0,5.0,1.2499372449187875,-0.004326996729076666,0.3498888728841191,0.06384403001091703,0.04027180860018913,0.09093154102930873,0.00034867378395009167,0.0005009015470453571,0.0008900801414264116,0.0010819030416356304,0.004913499382897823,0.002772320770476307,4.008327834842469,8.88346047809971,8.9419513738009,18.0,34.88,0.0,0.0,0.5685575668509353,0.01809595958768283,-0.02396534366076051,0.10738144628147628,0.12508015880152198,0.07951480839156987,0.001400180281138906,-0.00025067214410344084,-0.0002688965754176613,0.016744241758324497
2.0,0.8,1.5,0.800015286195287,0.0015155191285263915,18.0,35.82,19.0,6.0,1.5000775333744476,0.0007726215859342857,0.3973667043563268,0.08956390097347951,0.06945155056144918,0.12070158945174159,0.0005084518682168356,0.00042525772857818364,0.0020040179613803884,0.0014316295077944513,0.005839469570867514,0.005586802368160775,5.0051543312871365,8.45359670674441,6.283663891599346,18.0,35.82,0.0,0.0,0.5460827001623295,0.019154560822153964,-0.027226314376131128,0.11191419341744575,0.1260595937935865,0.0725357538184572,-0.0006062081588979359,-0.0004913931960219897,0.0005866054835929963,0.016833883654785813
3.0,0.8,1.75,0.8000131260599208,0.0035351799021401324,18.0,35.69,22.0,7.0,1.7500038588869933,0.01644209420149939,0.4562821389941852,0.10835118760000156,0.09873023664186381,0.16367703373675083,0.0012179923688331506,0.0036149046865418875,0.006255129938304528,0.0032190962728732416,0.010596150338785085,0.01652222129534068,6.00114193688295,12.449589839385824,6.156228123798021,18.0,35.69,0.0,0.0,0.48339954732448687,0.017704448869303304,-0.01137850072068232,0.1129169854504326,0.10908434728124511,0.0807116999975589,0.0015297494003803274,0.0004407268344179256,-0.00016482118096862084,0.015577598175388285
4.0,0.8,2.0,0.8000038978668398,0.0030665736170685455,20.0,35.47,22.0,7.0,2.000420417327283,0.05089549636503795,0.5185136665708548,0.15005570529566686,0.15445891853854027,0.1842856945714383,0.0019990286905292184,0.009186366253662918,0.005926524904343114,0.005283355424074318,0.024372667040465625,0.01565343881536531,6.000451475225918,7.602497636957295,6.174068740059464,20.0,35.47,0.0,0.0,0.41639566492374874,0.002749029716139751,-0.011520051799189265,0.09958672415421199,0.0950477707704329,0.06301822956037155,0.001138804921373761,1.1959917387122485e-05,-8.73306350318165e-05,0.011457738481183526
5.0,0.8,2.25,0.8000233461292391,0.0021405781897048458,20.0,35.63,25.0,8.0,2.249999280989148,0.13026841571225706,0.5957797010796481,0.19234945672930584,0.21842116254655566,0.21546964474962135,0.002924580262120836,0.007578892416590751,0.004276267838081893,0.007393020647972803,0.01982303575550197,0.01082477217644782,7.000263034203319,10.338069981882157,7.389800075340365,20.0,35.63,0.0,0.0,0.5005129687189865,0.01784689309011935,-0.01602752881490407,0.10496977979475196,0.11209938149352983,0.06706765019352981,0.0012236143483413176,-0.000512306285749708,0.00011517811080527732,0.01403700128118181
6.0,0.8,2.5,0.8000061230964474,0.0022746770870163448,20.0,35.76,28.0,9.0,2.5001264694337877,0.2023098758224054,0.6766462828740281,0.155240354837002,0.19566417771007757,0.1917341923282044,0.00151419604014826,0.006952216176310838,0.004226946920120817,0.0037035788390393162,0.018302549485290153,0.01037134765519513,8.001202438912934,13.13197253777504,8.455133326750158,20.0,35.76,0.0,0.0,0.3736566170714311,-0.004740634940542458,-0.009296954308000044,0.07602494241849601,0.08313244390081441,0.05386012804680106,0.00032904266931285344,0.00039109678567406835,0.0004751988294300637,0.007793379954899885
7.0,0.8,2.6,0.8000243184713383,0.0031994007529100497,20.0,35.7,29.0,9.0,2.5996591092565455,0.23592031147374565,0.7114314828634993,0.1446701205915565,0.18167990705651602,0.1936123244395475,0.0012036088858532487,0.005645029447464684,0.006475235761619568,0.0029439257349455315,0.015778144446833113,0.01585744935086001,8.00195771900252,15.032305200856731,8.194057797104524,20.0,35.7,0.0,0.0,0.3457467348527552,-0.01274402300656646,-0.012305829933427355,0.07508033859858132,0.08176066261289427,0.04493742708031637,-0.00018743042042215384,6.185149909917521e-05,0.00012867020233896072,0.007168332731185584
8.0,0.8,2.7,0.8000267902813303,0.0029190190694641984,20.0,35.64,30.0,10.0,2.6996825442411057,0.2630276204132864,0.7395237355624602,0.13294746066563828,0.1729389396628028,0.18650025498764428,0.0017444021864345515,0.004287214608681246,0.0035748509436670864,0.004159603368148002,0.013502395650605932,0.008579481178952875,9.001079138137923,16.787643950210544,9.713319357756086,20.0,35.64,0.0,0.0,0.3197236083786379,0.0057247999933362015,-0.007687240213816637,0.062290203824285,0.0659811631078337,0.04030483718545853,0.0001881301283658987,0.00016523637455916453,-6.970577793463758e-05,0.0049274547137517855
9.0,0.8,2.8,0.8000317073170733,0.00294609286653346,20.0,35.58,31.0,10.0,2.79989274648814,0.2893546647589452,0.7696350671134272,0.12167310436247918,0.16446455787007383,0.18207728638935577,0.0010470543027968513,0.003945407246905633,0.0059415576263901265,0.002496787196304346,0.013279824923134419,0.014198758133831766,9.003083541586642,16.14206911909031,9.25903131151627,20.0,35.58,0.0,0.0,0.3015316210675202,0.0018497109585489501,-0.019305939027885598,0.062086266208781174,0.06820759610376304,0.04373802238154231,0.0006215406750072241,0.00022788623415413335,0.00017500402722600973,0.005208324818720019
