run,tsr_ref,cp,mean_torque,mean_rpm
0.0,0.9999657174691021,-0.023532368652527356,-5.4866973413536515,17.76552411434135
1.0,1.2499786543797395,-0.042609282562422156,-7.947528554758765,22.20728724880648
2.0,1.5000166675926745,-0.06766449668020437,-10.517081581825606,26.649495892197947
3.0,1.7501301787187413,-0.0976874453330295,-13.013642455896054,31.093045841569108
4.0,2.0001654815379974,-0.13422321539354648,-15.645598540440053,35.535206331745506
5.0,2.250104567771665,-0.17852650307883838,-18.49824251635898,39.97565742524798
6.0,2.5003948584890185,-0.23270604660306715,-21.69849152259689,44.42234806438185
7.0,2.6003125272463463,-0.25639594144607575,-22.98878772073457,46.19749867479459
8.0,2.700118016929101,-0.2845666543172037,-24.5715036001786,47.970656296828174
9.0,2.8003362329802757,-0.3121166542842352,-25.985868421615013,49.75114647049099
10.0,2.9001649416903446,-0.34164051278294294,-27.464844129281147,51.5247166048562
11.0,3.000148445484991,-0.3764465185046689,-29.254387723841663,53.301036849309995
12.0,3.100586991219172,-0.41277951934383783,-31.038783547103744,55.085441429465114
13.0,3.20003791074808,-0.4519000324426616,-32.92438875510549,56.852299710922985
14.0,3.3001950824745094,-0.49094422299689605,-34.68350768988763,58.63170536298234
15.0,3.400654128910511,-0.5382884664436411,-36.90481929804585,60.41647416133634
16.0,3.5003232980884147,-0.5841884483130212,-38.911258582313586,62.187209895125264
17.0,3.600747534217158,-0.6298654199096253,-40.78360067636194,63.9713602489244
18.0,3.7006802827272667,-0.6865533773096151,-43.25369500560148,65.74677876823337
19.0,3.8009376928322594,-0.7377815554334264,-45.25509856197421,67.52796526867627
20.0,3.901465518292071,-0.7999629137689515,-47.80491524769101,69.31395600432742
21.0,4.0012489042980315,-0.8577888404586334,-49.982191669330504,71.08672092949529
22.0,4.25172736516634,-1.034792043902959,-56.74376450997335,75.53675462459195
23.0,4.501592408219761,-1.224012777275968,-63.39430624968761,79.97589025709293
24.0,4.752660710408389,-1.4500536377124174,-71.13408141828508,84.43640315164286
25.0,5.0052159797688525,-1.689075772462757,-78.67862872130395,88.92333370300543
