run,tow_speed_nom,tsr_nom,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
0.0,0.4,1.0,0.39999650584052804,0.0030662052321097097,20.0,59.38,14.0,4.0,1.0000802685589687,-0.020017094038341118,0.2795527024719004,0.015127978368184395,0.011923702896328358,0.26603239960988223,0.00013555913588181166,0.00021295030266898997,0.00606525952951759,0.0002055549603166682,0.015455540860471151,0.009552945492016926,3.650431627577128,8.004037478034721,8.239399004011,20.0,59.38,0.0,0.0,0.2889499110315339,-0.01346659037295873,-0.013068514060627659,0.0683077421151614,0.07446661796074527,0.044686966850313044,-0.0003425195532556193,-3.8217599443627294e-05,0.00010341191880595203,0.0061032985197155
1.0,0.4,1.25,0.3999942446419234,0.0029638041417289185,20.0,58.26,17.0,5.0,1.2500987148719964,-0.034465399138668314,0.3127935737489818,0.016016576929496717,0.01555772512315182,0.2564639172071484,0.00021947126209784787,0.0003833088197266635,0.0055217766617745336,0.00026929337201658587,0.019320228446028733,0.008258244315935413,4.4252419432636,8.006697419568475,11.531772832029196,20.0,58.26,0.0,0.0,0.2831721386743101,0.013572662983403174,-0.01416956467882353,0.07412705787821823,0.07800884583264873,0.045777064531602386,0.0001261689189045089,0.00011596223492463081,-0.0002375537531028044,0.006836975470563916
2.0,0.4,1.5,0.3999990886011677,0.0028332302635448426,20.0,59.39,21.0,7.0,1.5000706430753175,-0.053639642803000175,0.3526190595406124,0.017632461769465785,0.021658275335704406,0.254533779670927,0.00030315043649210106,0.0013372368010401599,0.004341926287330082,0.0002808574378318339,0.023190554768973554,0.007147399010392605,6.489022022883941,8.04042837278614,12.365293160491573,20.0,59.39,0.0,0.0,0.2762866761690607,0.006727746014911978,-0.012578091289357395,0.0636441672215579,0.06235798230787879,0.036659394408524414,-5.531491683663345e-05,-8.053660214090734e-05,8.726260976102009e-06,0.0046409150608162555
3.0,0.4,1.75,0.39999614407877665,0.0027537791784922995,20.0,58.59,24.0,8.0,1.7501352347940655,-0.06874655295604047,0.38502345805218935,0.02054664466964886,0.027290046713390876,0.24953567824367362,0.00021923510659806284,0.001241427168106168,0.0060710994255950695,0.00018573311494865811,0.027052227897671987,0.007639202899288535,8.313514215135363,8.022404113852328,14.361408337342818,20.0,58.59,0.0,0.0,0.2638430279182224,0.0031062808024391,-0.008663812131223738,0.06555163343488102,0.06058703316673671,0.04120839216247455,0.00020404367756858384,-0.00036895633380945906,9.572602528691556e-05,0.004832341109238599
4.0,0.4,2.0,0.39999841584158397,0.002701524351625914,20.0,59.39,28.0,9.0,2.000146131306042,-0.07830586616279692,0.4388100461379987,0.0255507768460766,0.03854571304888356,0.2569497104518602,0.0002994303992062314,0.002855257231090815,0.005162829611633624,0.0002326500995226313,0.03093379163617863,0.007189839562357092,8.962304308013728,8.080665272170997,13.141544646285393,20.0,59.39,0.0,0.0,0.2721975357737865,0.009155341014028836,-0.012374602804574615,0.0635337760425307,0.05751378531420639,0.03732777741509928,0.00048256669696182124,-0.00014950537467884166,0.00016009400538064472,0.0043683145649949535
5.0,0.4,2.25,0.3999976579829766,0.0026532356095442266,20.0,58.77,31.0,10.0,2.2499692577661174,-0.05590901268410985,0.5062891618721186,0.049890068345256104,0.09024248052871191,0.26984011581860573,0.000578463412184127,0.006337581708735997,0.011143811483891208,0.000415422860092957,0.03486892757420456,0.009582240094983398,9.345227609298226,8.282858787594389,16.627747459002002,20.0,58.77,0.0,0.0,0.25555406471942704,0.01138720492565747,-0.010076714459863573,0.060080976041239714,0.054868401630395115,0.035329077172865715,0.00019345006629217294,-0.00019963106254385096,8.672755632923538e-05,0.003933696799789932
6.0,0.4,2.5,0.39999953033764907,0.0026553748144858363,20.0,59.39,35.0,11.0,2.500110859521878,-0.02086507616994269,0.5727825704646416,0.0754337218066207,0.1606087786036304,0.3109002355297386,0.0006684855024988414,0.005971759534098531,0.015824647941807404,0.0004508864459572613,0.03870581235971859,0.01179149653009679,10.338467601877415,8.184982197384716,15.889535939131008,20.0,59.39,0.0,0.0,0.25186687006238406,0.020332571166910954,-0.014980319980460982,0.05723215484306213,0.05067365702905493,0.035730088680280936,0.00038517398339094967,-0.00021028864532392628,7.20711620305537e-05,0.003559536957677461
7.0,0.4,2.6,0.39999739989733046,0.002590359791589758,20.0,58.96,36.0,12.0,2.60021760764679,0.00037063425669074033,0.6130961163042195,0.08432650023603035,0.18990650920445554,0.31280313626935125,0.0007875479490715415,0.004870811925563341,0.011371035956032416,0.000502172861606553,0.04022364696639951,0.009102769654994958,11.30100117211233,8.104266753015084,18.993326887321473,20.0,58.96,0.0,0.0,0.2458389419492936,0.01758452060976917,-0.010697895305729505,0.05706436226081003,0.054802022236977055,0.034172350938121925,0.0006336139092859175,-3.1696685678184115e-05,0.00018702670626468212,0.0037131995381370487
8.0,0.4,2.7,0.39999571212121204,0.0028619319922778873,20.0,59.6,38.0,12.0,2.7001654973441993,0.026797862472051567,0.6511362161200617,0.08937979008715163,0.21126724832334343,0.3334375307673012,0.0009820773093849483,0.005239179486181477,0.013032001544065204,0.000625449897156406,0.04177301143195393,0.00989060019236385,11.199418203886822,8.111874756596334,18.759153678023864,20.0,59.6,0.0,0.0,0.23555583651250528,0.00706557998535385,-0.015344696993395131,0.05895909509651042,0.05240664406984661,0.034264894083720014,0.0004780030534618393,-0.00010092704425783658,-7.486564160547232e-05,0.003697889895289421
9.0,0.4,2.8,0.40000257397959166,0.0026553782821830928,20.0,59.2,39.0,13.0,2.800179511936594,0.05526556460075606,0.6920266040162911,0.09105627947898809,0.2243349065038957,0.3244328290643808,0.0006114813162797574,0.005582895333151365,0.008076517524261187,0.0003722733717760223,0.04331775351551919,0.007663794559858876,12.622196431526332,8.109063268967718,16.679052038022824,20.0,59.2,0.0,0.0,0.20396950390334928,0.013859606541443486,-0.00506354473817999,0.060661151895186394,0.05055694259606497,0.032425593938402615,0.0002717955184311322,-0.00014793999616693985,0.00015051870356042505,0.003643134357863217
